[1,[0],	[[33,0],[238,0],[67,0],[193,0],[191,0],[241,0],[99,0],[254,0],[47,0]]]
[2,[0],	[[292,0],[67,0]]]
[3,[0],	[[67,0]]]
[4,[0],	[[67,0],[100,0],[23,0],[272,0]]]
[5,[0],	[[67,0]]]
[6,[0],	[[67,0]]]
[7,[0],	[[67,0]]]
[8,[0],	[[292,0],[67,0],[297,0],[286,0],[93,0],[229,0],[62,0],[149,0],[118,0],[46,0],[223,0],[193,0],[148,0],[135,0],[198,0],[150,0],[133,0],[123,0]]]
[9,[0],	[[67,0]]]
[10,[0],	[[67,0]]]
[11,[0],	[[67,0]]]
[12,[0],	[[67,0]]]
[13,[0],	[[67,0]]]
[14,[0],	[[67,0]]]
[15,[0],	[[67,0]]]
[16,[0],	[[200,0],[123,0],[67,0],[257,0],[85,0],[35,0],[132,0],[151,0],[29,0],[80,0],[124,0],[164,0],[78,0]]]
[17,[0],	[[130,0],[67,0]]]
[18,[0],	[[67,0]]]
[19,[0],	[[67,0]]]
[20,[0],	[[254,0],[67,0],[238,0],[142,0],[57,0]]]
[21,[0],	[[67,0]]]
[22,[0],	[[67,0]]]
[23,[0],	[[100,0],[4,0],[272,0],[67,0]]]
[24,[0],	[[67,0]]]
[25,[0],	[[67,0]]]
[26,[0],	[[67,0]]]
[27,[0],	[[67,0]]]
[28,[0],	[[67,0]]]
[29,[0],	[[80,0],[67,0],[16,0],[85,0],[78,0],[132,0],[151,0],[124,0],[84,0]]]
[30,[0],	[[67,0]]]
[31,[0],	[[67,0]]]
[32,[0],	[[67,0],[120,0]]]
[33,[0],	[[99,0],[123,0],[67,0],[47,0],[254,0],[238,0],[193,0],[1,0]]]
[34,[0],	[[67,0]]]
[35,[0],	[[67,0],[257,0],[16,0],[200,0],[158,0],[151,0],[124,0]]]
[36,[0],	[[41,0],[211,0],[263,0],[123,0],[292,0],[67,0],[274,0],[283,0],[174,0],[285,0]]]
[37,[0],	[[67,0]]]
[38,[0],	[[67,0]]]
[39,[0],	[[67,0]]]
[40,[0],	[[67,0]]]
